#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
30.0%	150000	300.00000000070435	-103641.70539149856	26058.671083229918	-77583.03430826864	328.3710765848234	192.0	0.8610582889713119	38.8	25:58
32.0%	160000	320.00000000079984	-102624.15705563058	25373.585297802758	-77250.57175782783	319.73815911197306	192.0	0.8610582889713119	38.8	25:13
34.0%	170000	340.00000000089534	-102759.56516222974	25392.569393542406	-77366.99576868734	319.97738190027667	192.0	0.8610582889713119	38.8	24:28
36.0%	180000	360.00000000099084	-101970.24694979926	25672.82174836943	-76297.42520142983	323.5089037946992	192.0	0.8610582889713119	38.8	23:45
38.0%	190000	380.00000000108633	-102338.89279831963	25608.66750302763	-76730.22529529201	322.7004819629378	192.0	0.8610582889713119	38.8	23:00
40.0%	200000	400.00000000118183	-102449.62826397753	25759.955740527374	-76689.67252345016	324.6068984975239	192.0	0.8610582889713119	38.8	22:14
42.0%	210000	420.00000000127733	-102730.91388076692	25777.804761061205	-76953.10911970571	324.83181795216376	192.0	0.8610582889713119	38.8	21:30
44.0%	220000	440.0000000013728	-102263.453332686	25994.658070297908	-76268.79526238808	327.56443445388794	192.0	0.8610582889713119	38.8	20:46
46.0%	230000	460.0000000014683	-102508.29591035504	26029.780057773707	-76478.51585258133	328.0070143844758	192.0	0.8610582889713119	38.8	20:01
48.0%	240000	480.0000000015638	-102930.57802765106	25498.418430328336	-77432.15959732272	321.31120901885265	192.0	0.8610582889713119	38.8	19:18
50.0%	250000	500.0000000016593	-102842.41395094605	25826.87757243477	-77015.53637851129	325.4501952995854	192.0	0.8610582889713119	38.8	18:34
52.0%	260000	520.0000000015274	-102658.09916868266	25304.69110766071	-77353.40806102195	318.87000818765586	192.0	0.8610582889713119	38.7	17:51
54.0%	270000	540.0000000010544	-102152.495781249	25487.933154641792	-76664.5626266072	321.17908174135323	192.0	0.8610582889713119	38.7	17:06
56.0%	280000	560.0000000005815	-102800.35862897418	25933.779259415118	-76866.57936955907	326.7972870960301	192.0	0.8610582889713119	38.7	16:21
58.0%	290000	580.0000000001086	-102829.42243383765	25717.491557975514	-77111.93087586213	324.0717979432281	192.0	0.8610582889713119	38.7	15:36
60.0%	300000	599.9999999996356	-102847.448211587	25486.97545308496	-77360.47275850204	321.1670135322623	192.0	0.8610582889713119	38.7	14:52
62.0%	310000	619.9999999991627	-103000.29507585324	25448.032403916306	-77552.26267193693	320.6762835583445	192.0	0.8610582889713119	38.7	14:07
64.0%	320000	639.9999999986898	-103345.75723086084	25747.93234682571	-77597.82488403513	324.4553890547972	192.0	0.8610582889713119	38.8	13:22
