# nm	H2O.H	H2O.O	CCl4.Cl	CCl4.C	Na+	Cl-	DDC.T	DDC.HG
-2.000000000000000000e+00	2.750139238117162704e+09	-2.738170798670295238e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.558910456250000000e+07	-5.958094231250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.979999999999999982e+00	2.749488779451571941e+09	-2.742593917596311569e+09	0.000000000000000000e+00	0.000000000000000000e+00	3.905305462500000000e+07	-5.607618100000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.959999999999999964e+00	2.726852817889018059e+09	-2.745716119191146374e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.157005931250000000e+07	-6.058230268750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.939999999999999947e+00	2.699143278734857559e+09	-2.745976302657382965e+09	0.000000000000000000e+00	0.000000000000000000e+00	4.706393762500000000e+07	-6.709114512500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.919999999999999929e+00	2.750009146384044647e+09	-2.754302173576942444e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.106937912500000000e+07	-6.608978475000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.900000000000000133e+00	2.775897401274551392e+09	-2.749098504252217770e+09	0.000000000000000000e+00	0.000000000000000000e+00	4.756461781250000000e+07	-6.358638381250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.880000000000000115e+00	2.723860708027301311e+09	-2.744415201859964848e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.657686118750000000e+07	-6.008162250000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.860000000000000098e+00	2.749358687718453884e+09	-2.738430982136531353e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.106937912500000000e+07	-6.508842437500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.840000000000000080e+00	2.769002539419290543e+09	-2.702785847262165070e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.958094231250000000e+07	-7.009522625000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.820000000000000062e+00	2.713323277644732475e+09	-2.749358687718453407e+09	0.000000000000000000e+00	0.000000000000000000e+00	4.906665837500000000e+07	-5.357278006250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.800000000000000044e+00	2.700574287799157143e+09	-2.690036857416588783e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.457414043750000000e+07	-7.359998756250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.780000000000000027e+00	2.735308780541696548e+09	-2.718136671770103931e+09	0.000000000000000000e+00	0.000000000000000000e+00	4.305849612500000000e+07	-5.657686118750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
