# x(nm)	average	StDev
# 
5.469000000000000528e-01	1.388999999999999790e+00	2.236067977499792050e-03
5.625000000000000000e-01	1.378249999999999975e+00	2.680951323690844955e-03
5.780999999999999472e-01	1.372249999999999970e+00	2.165063509461095329e-03
5.937999999999999945e-01	1.364750000000000130e+00	1.479019945774891166e-03
6.094000000000000528e-01	1.355750000000000011e+00	1.479019945774919355e-03
6.250000000000000000e-01	1.347500000000000142e+00	2.692582403567285280e-03
6.405999999999999472e-01	1.340500000000000025e+00	4.031128874149271339e-03
6.562000000000000055e-01	1.333250000000000046e+00	2.165063509461101834e-03
6.719000000000000528e-01	1.327250000000000041e+00	1.639359631075505827e-03
6.875000000000000000e-01	1.320750000000000091e+00	2.277608394786091815e-03
7.030999999999999472e-01	1.312249999999999917e+00	2.165063509461095329e-03
7.187999999999999945e-01	1.304750000000000076e+00	3.269174207655539590e-03
7.344000000000000528e-01	1.299500000000000099e+00	1.118033988749871088e-03
7.500000000000000000e-01	1.291250000000000009e+00	1.299038105676621722e-03
7.655999999999999472e-01	1.283749999999999947e+00	2.861380785564909303e-03
7.812000000000000055e-01	1.278250000000000108e+00	4.085033659592022560e-03
7.969000000000000528e-01	1.272499999999999964e+00	5.220153254455264097e-03
8.125000000000000000e-01	1.268999999999999906e+00	2.121320343559592123e-03
8.280999999999999472e-01	1.263749999999999929e+00	1.785357107135756866e-03
8.437999999999999945e-01	1.256499999999999950e+00	2.179449471770338910e-03
8.594000000000000528e-01	1.250250000000000083e+00	1.299038105676589630e-03
8.750000000000000000e-01	1.247249999999999970e+00	1.479019945774891166e-03
8.905999999999999472e-01	1.240750000000000020e+00	2.861380785564909303e-03
9.062000000000000055e-01	1.235500000000000043e+00	1.499999999999982901e-03
9.219000000000000528e-01	1.229749999999999899e+00	1.639359631075497370e-03
9.375000000000000000e-01	1.224000000000000199e+00	1.224744871391635331e-03
9.530999999999999472e-01	1.218750000000000000e+00	2.384848003542345846e-03
9.687999999999999945e-01	1.216500000000000137e+00	2.598076211353318038e-03
9.844000000000000528e-01	1.214000000000000190e+00	3.000000000000002665e-03
1.000000000000000000e+00	1.211749999999999883e+00	2.947456530637899280e-03
1.016000000000000014e+00	1.207000000000000073e+00	1.581138830084191215e-03
1.030999999999999917e+00	1.201999999999999957e+00	1.581138830084191215e-03
1.046999999999999931e+00	1.197500000000000009e+00	1.118033988749920745e-03
1.062000000000000055e+00	1.193000000000000060e+00	1.870828693386942642e-03
1.078000000000000069e+00	1.189500000000000002e+00	1.802775637731950098e-03
1.094000000000000083e+00	1.185249999999999915e+00	3.269174207655471936e-03
1.108999999999999986e+00	1.180499999999999883e+00	3.499999999999979256e-03
1.125000000000000000e+00	1.176249999999999796e+00	3.031088913245526435e-03
1.141000000000000014e+00	1.173749999999999849e+00	2.861380785564933589e-03
1.155999999999999917e+00	1.171249999999999902e+00	2.861380785564933589e-03
1.171999999999999931e+00	1.168499999999999872e+00	2.958039891549810521e-03
1.187999999999999945e+00	1.164500000000000091e+00	2.179449471770338910e-03
1.203000000000000069e+00	1.162249999999999783e+00	2.487468592766515618e-03
1.219000000000000083e+00	1.158749999999999947e+00	2.680951323690932992e-03
1.233999999999999986e+00	1.155999999999999917e+00	3.162277660168382430e-03
1.250000000000000000e+00	1.153000000000000025e+00	4.062019202318039104e-03
1.266000000000000014e+00	1.150250000000000217e+00	4.437059837324680220e-03
1.280999999999999917e+00	1.148500000000000076e+00	4.769696007084732459e-03
1.296999999999999931e+00	1.146249999999999991e+00	4.968651728587975686e-03
1.312000000000000055e+00	1.144249999999999989e+00	4.145780987944218572e-03
1.328000000000000069e+00	1.141499999999999959e+00	3.840572873934307730e-03
1.344000000000000083e+00	1.139750000000000041e+00	1.920286436967121339e-03
1.358999999999999986e+00	1.136500000000000066e+00	2.291287847477909822e-03
1.375000000000000000e+00	1.133249999999999869e+00	1.920286436967121339e-03
1.391000000000000014e+00	1.130749999999999922e+00	1.299038105676621722e-03
1.405999999999999917e+00	1.128749999999999920e+00	8.291561975888590667e-04
1.421999999999999931e+00	1.126249999999999973e+00	1.299038105676621722e-03
1.437999999999999945e+00	1.125249999999999861e+00	1.479019945774891166e-03
1.453000000000000069e+00	1.124500000000000055e+00	2.958039891549716846e-03
1.469000000000000083e+00	1.122000000000000108e+00	1.870828693387002056e-03
1.483999999999999986e+00	1.119750000000000023e+00	2.165063509461101834e-03
1.500000000000000000e+00	1.116750000000000131e+00	1.479019945774891166e-03
1.516000000000000014e+00	1.115750000000000020e+00	1.785357107135756866e-03
1.530999999999999917e+00	1.114500000000000046e+00	2.692582403567305663e-03
1.546999999999999931e+00	1.113250000000000073e+00	3.269174207655543927e-03
1.562000000000000055e+00	1.111500000000000155e+00	3.201562118716470492e-03
1.578000000000000069e+00	1.110000000000000098e+00	3.937003937005866677e-03
1.594000000000000083e+00	1.109250000000000069e+00	3.561951712193756926e-03
1.608999999999999986e+00	1.107750000000000012e+00	3.031088913245526869e-03
1.625000000000000000e+00	1.106999999999999984e+00	3.535533905932740709e-03
1.641000000000000014e+00	1.105750000000000011e+00	3.112474899497205943e-03
1.655999999999999917e+00	1.104750000000000121e+00	3.699662146737232003e-03
1.671999999999999931e+00	1.101999999999999869e+00	2.549509756796350998e-03
1.687999999999999945e+00	1.099250000000000060e+00	1.920286436967128495e-03
1.703000000000000069e+00	1.096750000000000114e+00	1.089724735885201331e-03
1.719000000000000083e+00	1.095499999999999918e+00	1.500000000000019981e-03
1.733999999999999986e+00	1.094500000000000028e+00	2.291287847477934108e-03
1.750000000000000000e+00	1.094500000000000028e+00	2.692582403567223264e-03
1.766000000000000014e+00	1.092999999999999972e+00	2.549509756796438167e-03
1.780999999999999917e+00	1.092000000000000082e+00	2.549509756796351431e-03
1.796999999999999931e+00	1.090500000000000025e+00	3.905124837953366252e-03
1.812000000000000055e+00	1.088999999999999968e+00	3.240370349203967621e-03
1.828000000000000069e+00	1.087250000000000050e+00	2.277608394786061457e-03
1.844000000000000083e+00	1.086749999999999883e+00	2.046338192968158356e-03
1.858999999999999986e+00	1.084249999999999936e+00	1.089724735885201114e-03
1.875000000000000000e+00	1.083000000000000185e+00	1.581138830084191215e-03
1.891000000000000014e+00	1.082000000000000073e+00	1.581138830084191215e-03
1.905999999999999917e+00	1.081250000000000044e+00	1.299038105676621722e-03
1.921999999999999931e+00	1.081250000000000044e+00	1.089724735885137579e-03
1.937999999999999945e+00	1.079749999999999988e+00	1.299038105676707158e-03
1.953000000000000069e+00	1.079499999999999904e+00	1.118033988749871088e-03
1.969000000000000083e+00	1.078749999999999876e+00	1.089724735885201114e-03
1.983999999999999986e+00	1.078750000000000098e+00	1.479019945774891166e-03
2.000000000000000000e+00	1.078500000000000014e+00	2.291287847477934108e-03
2.016000000000000014e+00	1.078249999999999931e+00	2.384848003542386612e-03
2.031000000000000139e+00	1.076500000000000012e+00	2.499999999999946709e-03
2.047000000000000153e+00	1.074500000000000011e+00	1.118033988749920745e-03
2.061999999999999833e+00	1.073500000000000121e+00	8.660254037844394544e-04
2.077999999999999847e+00	1.072750000000000092e+00	1.639359631075497370e-03
2.093999999999999861e+00	1.071250000000000036e+00	1.479019945774919355e-03
2.108999999999999986e+00	1.070500000000000007e+00	1.499999999999982901e-03
2.125000000000000000e+00	1.068999999999999950e+00	1.414213562373096327e-03
2.141000000000000014e+00	1.068749999999999867e+00	1.479019945774891166e-03
2.156000000000000139e+00	1.068000000000000060e+00	1.224744871391635547e-03
2.172000000000000153e+00	1.066500000000000004e+00	1.118033988749920745e-03
2.188000000000000167e+00	1.065499999999999892e+00	8.660254037844395628e-04
2.202999999999999847e+00	1.064750000000000085e+00	8.291561975888422616e-04
2.218999999999999861e+00	1.064500000000000002e+00	4.999999999999449329e-04
2.233999999999999986e+00	1.063499999999999890e+00	5.000000000000559552e-04
2.250000000000000000e+00	1.063250000000000028e+00	1.089724735885137579e-03
2.266000000000000014e+00	1.062500000000000000e+00	1.118033988749920745e-03
2.281000000000000139e+00	1.062249999999999917e+00	1.299038105676696316e-03
2.297000000000000153e+00	1.061250000000000027e+00	4.330127018922678116e-04
2.311999999999999833e+00	1.060999999999999943e+00	7.071067811865481634e-04
2.327999999999999847e+00	1.060499999999999998e+00	1.802775637731950098e-03
