# nm	x_force	y_force	z_force	magnitude_x-y_force
# 
-5.805445147894845448e-01	-2.526047950656592711e+00	5.115789329041209310e-01	5.930785941089182778e-01	2.988685311177993640e+02
-5.605445147894845270e-01	-2.108983189122770607e-02	1.448171529140668268e-01	-2.828894774055167316e-01	2.986621270427921786e+02
-5.405445147894846203e-01	7.235105393698461063e-01	2.247643272538870196e+00	-2.666948106374262828e-01	2.984077835724993975e+02
-5.205445147894846025e-01	1.208794881868886506e-01	-1.767722449466815560e+00	-4.448290562365807554e-01	2.994640160291319830e+02
-5.005445147894845848e-01	1.708174059368379183e+00	1.718975886792581953e-01	-8.881631634275406473e-01	2.990194804724783353e+02
-4.805445147894846225e-01	-2.663117827620313349e+00	-1.509672064555121818e+00	-7.161996690332869120e-01	2.983934849073096984e+02
-4.605445147894846047e-01	1.194197012039761141e+00	2.532461614626266844e-01	8.737021534167593861e-02	2.988948359731615483e+02
-4.405445147894846425e-01	-1.177131711143511783e+00	-2.604008028912829231e-01	-2.437492200146359755e-01	2.983278248082580149e+02
-4.205445147894846247e-01	-2.431259138475234671e+00	6.816061234154885407e-02	-1.629980314351471726e+00	2.973249156699291120e+02
-4.005445147894846070e-01	-1.186658133909591406e+00	-6.650007884262540969e-01	1.657189839169543211e+00	2.981148974050847755e+02
-3.805445147894846447e-01	3.578034470857177629e-02	-2.185875998335431447e+00	-2.421206537136232129e+00	2.972085172353787357e+02
-3.605445147894846269e-01	6.281551235933720001e-01	-2.039532889166295604e-01	-1.185909543945617095e+00	2.966161334058999728e+02
-3.405445147894846092e-01	9.316578124643832837e-01	1.583627784981253228e+00	-1.557228388310930134e+00	2.978439599567672644e+02
-3.205445147894846469e-01	4.710160289547637991e-01	-7.671055117918276212e-01	-9.267451572310273500e-01	2.961227352586790857e+02
-3.005445147894846292e-01	1.922597922068588261e+00	1.601161160898495250e+00	-1.655781279516269411e+00	2.962339340752010344e+02
-2.805445147894846114e-01	1.895647842963279484e+00	5.753724394306891643e-01	-3.595210776785842555e+00	2.959946274570432934e+02
-2.605445147894846492e-01	-1.078722379022691857e+00	-2.178602131710005996e-01	-2.741992357381740408e+00	2.958627291379164603e+02
-2.405445147894846036e-01	1.027405797339369764e+00	2.935647222808809076e+00	-2.417066122783812609e+00	2.954586555282207883e+02
-2.205445147894845859e-01	-8.112155180668785270e-01	-1.014601276623697590e+00	-3.189754265390630117e+00	2.934827282747864956e+02
-2.005445147894845959e-01	1.044131413005911835e+00	-1.403835824705071955e-01	-5.038497885641651131e+00	2.945899454411690499e+02
-1.805445147894846059e-01	2.203437530664726918e+00	5.162242862645037844e-01	-2.962218882943478349e+00	2.915170495137564330e+02
-1.605445147894845881e-01	-2.250741281444232023e+00	-6.289697150913626800e-01	-2.995322774833544699e+00	2.900399508140152420e+02
-1.405445147894845981e-01	-1.579282739284952219e+00	1.764100583754002471e-02	-4.708658424746234417e+00	2.896896506676944227e+02
-1.205445147894846220e-01	-6.695392841595517730e-01	-9.151462556250753444e-01	-4.081443276771553386e+00	2.858817046448955921e+02
