# x(nm^-1)	average	StDev
# 
3.774000000000000271e-02	1.608499999999999795e-04	8.476290462224615326e-06
3.737999999999999656e-02	1.567500000000000154e-04	6.132087735836791680e-06
3.703999999999999654e-02	1.492750000000000099e-04	7.756086319787834852e-06
3.670000000000000345e-02	1.566249999999999988e-04	6.726208069930634694e-06
3.636000000000000343e-02	1.639250000000000136e-04	1.233642979147530356e-06
3.604000000000000259e-02	1.641000000000000043e-04	8.384807690102374423e-06
3.570999999999999869e-02	1.566499999999999859e-04	1.451387267410045794e-05
3.540000000000000091e-02	1.437499999999999976e-04	4.494719123593812817e-06
3.509000000000000313e-02	1.383750000000000160e-04	1.151919593548090798e-05
3.477999999999999842e-02	1.376749999999999990e-04	9.487195317900849441e-06
3.447999999999999676e-02	1.430249999999999935e-04	5.326994931478723882e-06
3.418999999999999817e-02	1.452749999999999940e-04	7.926340580621044619e-06
3.389999999999999958e-02	1.437249999999999834e-04	7.094143711541228891e-06
3.361000000000000099e-02	1.370999999999999986e-04	1.057000473036791090e-05
3.332999999999999852e-02	1.301750000000000064e-04	1.083567602874874678e-05
3.305999999999999911e-02	1.285999999999999817e-04	6.333640343435996798e-06
3.278999999999999970e-02	1.344499999999999884e-04	5.650884886458049150e-06
3.252000000000000030e-02	1.345250000000000037e-04	6.124285672631538951e-06
3.225999999999999701e-02	1.368750000000000066e-04	3.363313098716802399e-06
3.200000000000000067e-02	1.341000000000000070e-04	1.071890852652451138e-05
3.175000000000000044e-02	1.251000000000000050e-04	3.976807765029636715e-06
3.150000000000000022e-02	1.276249999999999986e-04	5.226554792595215536e-06
3.125000000000000000e-02	1.347499999999999956e-04	6.704662556758543904e-06
3.100999999999999937e-02	1.287500000000000124e-04	1.232832105357416744e-05
3.076999999999999874e-02	1.253749999999999982e-04	4.164957982981334447e-06
3.053000000000000158e-02	1.239500000000000042e-04	4.078296212881063986e-06
3.030000000000000054e-02	1.188000000000000010e-04	6.964194138592063194e-06
3.007999999999999910e-02	1.207249999999999936e-04	2.908070666266552640e-06
2.985000000000000153e-02	1.208500000000000101e-04	5.706356105256668372e-06
2.963000000000000009e-02	1.254750000000000006e-04	4.449929774726792555e-06
2.940999999999999864e-02	1.178999999999999927e-04	4.441846462902565020e-06
2.920000000000000026e-02	1.187000000000000121e-04	3.279481666361317882e-06
2.898999999999999841e-02	1.183250000000000030e-04	3.658124519477161476e-06
2.878000000000000003e-02	1.158750000000000112e-04	5.932274015923406746e-06
2.857000000000000164e-02	1.150999999999999924e-04	7.805767098754609533e-06
2.836999999999999938e-02	1.208499999999999966e-04	6.671768880889083891e-06
2.817000000000000060e-02	1.156249999999999916e-04	8.708724074168385941e-06
2.796999999999999834e-02	1.125749999999999987e-04	5.537316588384666400e-06
2.777999999999999914e-02	1.121499999999999884e-04	9.347325820789595982e-06
2.758999999999999994e-02	1.110750000000000029e-04	7.564844677850296718e-06
2.740000000000000074e-02	1.151499999999999936e-04	4.099085263811914825e-06
2.721000000000000155e-02	1.135249999999999812e-04	6.746248957754227276e-06
2.702999999999999847e-02	1.071374999999999953e-04	6.810963129396605461e-06
2.684999999999999887e-02	1.122750000000000050e-04	2.976890155850566137e-06
2.666999999999999926e-02	1.042750000000000003e-04	3.725838831726352680e-06
2.648999999999999966e-02	1.059525000000000126e-04	6.027418083226017763e-06
2.631999999999999965e-02	1.090575000000000040e-04	6.708756870687742972e-06
2.614000000000000004e-02	1.069574999999999937e-04	5.315958873994418167e-06
2.597000000000000003e-02	1.076750000000000016e-04	3.190905044027481877e-06
2.580999999999999961e-02	1.017474999999999944e-04	1.810322830326129148e-06
2.563999999999999960e-02	1.013774999999999963e-04	5.996192020774517328e-06
2.547999999999999918e-02	1.030075000000000061e-04	3.086044191193637741e-06
2.531999999999999876e-02	1.043625000000000092e-04	6.723780093816276757e-06
2.515999999999999834e-02	1.070049999999999962e-04	8.136895906916839628e-06
2.500000000000000139e-02	1.041499999999999972e-04	2.530316185775997688e-06
2.484000000000000097e-02	1.056500000000000066e-04	2.515452245621055760e-06
2.469000000000000014e-02	1.076549999999999984e-04	6.373623380778001408e-06
2.453999999999999931e-02	1.048874999999999948e-04	3.543722442573625047e-06
2.438999999999999849e-02	1.021949999999999931e-04	9.485466514621199077e-06
2.424000000000000113e-02	1.009975000000000033e-04	5.547370435620822673e-06
2.409999999999999989e-02	1.025424999999999893e-04	6.459397707991048650e-06
2.394999999999999907e-02	1.021100000000000100e-04	5.419123545371522723e-06
2.381000000000000130e-02	1.026200000000000034e-04	3.893244148521899250e-06
2.367000000000000007e-02	1.022100000000000124e-04	5.932373049631990034e-06
2.352999999999999883e-02	9.953750000000000033e-05	6.061651487012431704e-06
2.339000000000000107e-02	9.927250000000000202e-05	5.163803709476184364e-06
2.325999999999999943e-02	9.982999999999999795e-05	3.204949297570866331e-06
2.312000000000000166e-02	9.083250000000000829e-05	1.820815407997200120e-06
2.299000000000000002e-02	9.006250000000000041e-05	2.191487793714577091e-06
2.285999999999999838e-02	1.012449999999999971e-04	1.896331985702922191e-06
2.273000000000000020e-02	9.738250000000000487e-05	3.430498323859082810e-06
2.259999999999999856e-02	9.541250000000000848e-05	4.217708945624391208e-06
2.247000000000000039e-02	9.266750000000000681e-05	4.739189672296310014e-06
2.234999999999999834e-02	9.346999999999999786e-05	1.465042661494879436e-06
2.222000000000000017e-02	9.069249999999999946e-05	4.649717061284479914e-06
2.210000000000000159e-02	9.404249999999999957e-05	3.335861020786088671e-06
2.197999999999999954e-02	9.436250000000001006e-05	5.708197504466709317e-06
2.186000000000000096e-02	9.833250000000000085e-05	8.191890425902924173e-06
2.173999999999999891e-02	9.838249999999998851e-05	5.475711711732092020e-06
2.162000000000000033e-02	9.377999999999999997e-05	5.015899719890739055e-06
2.151000000000000134e-02	9.671999999999999554e-05	3.230936396774162439e-06
2.138999999999999929e-02	9.439000000000000938e-05	5.762148036973711423e-06
2.128000000000000030e-02	9.366500000000000531e-05	6.494153139555607833e-06
2.116000000000000172e-02	9.480249999999999907e-05	4.240432613543101984e-06
2.104999999999999927e-02	9.295249999999999476e-05	7.160542489923512992e-06
2.094000000000000028e-02	9.137249999999999973e-05	7.267015807743918864e-06
2.083000000000000129e-02	9.366750000000000401e-05	5.544444854987734531e-06
2.072999999999999843e-02	9.369750000000001558e-05	6.711726212383817996e-06
2.061999999999999944e-02	9.320999999999999696e-05	5.904510987372279566e-06
2.051000000000000045e-02	9.190749999999999376e-05	6.102668985779909473e-06
2.041000000000000106e-02	9.111749999999999624e-05	4.694205870006127647e-06
2.029999999999999860e-02	8.842750000000000675e-05	3.718980875186103373e-06
2.019999999999999921e-02	9.004749999999999463e-05	7.395641875456111507e-06
2.009999999999999981e-02	8.959749999999999724e-05	4.542132621357506939e-06
2.000000000000000042e-02	9.286749999999998457e-05	3.187549019230921530e-06
1.990000000000000102e-02	9.053000000000000229e-05	4.570924414163944479e-06
1.980000000000000163e-02	9.107500000000000469e-05	3.245223412956337977e-06
1.969999999999999876e-02	9.250499999999999608e-05	4.897782661572479531e-06
1.960999999999999896e-02	9.416499999999999035e-05	2.654321947315360355e-06
