# nm	H2O.H	H2O.O	CCl4.Cl	CCl4.C	Na+	Cl-	DDC.T	DDC.HG
-2.000000000000000000e+00	2.718917222168812752e+09	-2.724901441892246723e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.357278006250000000e+07	-5.908026212500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.979999999999999982e+00	2.697972453136794567e+09	-2.675726766773594856e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.008162250000000000e+07	-4.506121687500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.959999999999999964e+00	2.714364011509678841e+09	-2.716835754438922405e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.458774418750000000e+07	-5.707754137500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.939999999999999947e+00	2.707208966188181400e+09	-2.702785847262165070e+09	0.000000000000000000e+00	0.000000000000000000e+00	4.055509518750000000e+07	-5.357278006250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.919999999999999929e+00	2.692508600345833302e+09	-2.728544010419553757e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.657686118750000000e+07	-5.507482062500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.900000000000000133e+00	2.720868598165584564e+09	-2.685353555024336338e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.258502343750000000e+07	-5.958094231250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.880000000000000115e+00	2.727243093088372231e+09	-2.710331167783016205e+09	0.000000000000000000e+00	0.000000000000000000e+00	4.606257725000000000e+07	-6.508842437500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.860000000000000098e+00	2.674686032908650398e+09	-2.735308780541696072e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.607618100000000000e+07	-5.958094231250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.840000000000000080e+00	2.726852817889018059e+09	-2.738951349069004059e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.106937912500000000e+07	-5.357278006250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.820000000000000062e+00	2.724250983226655483e+09	-2.707208966188181877e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.106937912500000000e+07	-5.257141968750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.800000000000000044e+00	2.729975019483853340e+09	-2.723860708027301311e+09	0.000000000000000000e+00	0.000000000000000000e+00	4.405985650000000000e+07	-5.707754137500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.780000000000000027e+00	2.707599241387535572e+09	-2.669222180117688656e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.157005931250000000e+07	-5.407346025000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.760000000000000009e+00	2.689386398750998497e+09	-2.735829147474168777e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.607618100000000000e+07	-4.305849612500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.739999999999999991e+00	2.728153735220199585e+09	-2.731406028548152924e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.307209987500000000e+07	-4.906665837500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.719999999999999973e+00	2.706948782721944809e+09	-2.712672818979142666e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.258502343750000000e+07	-4.856597818750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.699999999999999956e+00	2.729324560818262100e+09	-2.712933002445378780e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.859318568750000000e+07	-6.358638381250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.679999999999999938e+00	2.693549334210778236e+09	-2.735308780541696072e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.056869893750000000e+07	-6.458774418750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.660000000000000142e+00	2.705257590191409111e+09	-2.682231353429501057e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.657686118750000000e+07	-5.557550081250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.640000000000000124e+00	2.687695206220462322e+09	-2.750659605049634933e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.757822156250000000e+07	-4.656325743750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.620000000000000107e+00	2.689516490484116554e+09	-2.676767500638540268e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.809250550000000000e+07	-5.407346025000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.600000000000000089e+00	2.723600524561064720e+09	-2.730625478149443626e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.857958193750000000e+07	-5.757822156250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.580000000000000071e+00	2.718917222168812752e+09	-2.685353555024336338e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.857958193750000000e+07	-5.507482062500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.560000000000000053e+00	2.716055204040213585e+09	-2.689776673950352669e+09	0.000000000000000000e+00	0.000000000000000000e+00	7.860678943750000000e+07	-5.106937912500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.540000000000000036e+00	2.700444196066039085e+09	-2.751440155448344231e+09	0.000000000000000000e+00	0.000000000000000000e+00	7.410066775000000000e+07	-5.958094231250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.520000000000000018e+00	2.706948782721944809e+09	-2.726982909622136116e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.608978475000000000e+07	-6.258502343750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.500000000000000000e+00	2.725421808824718952e+09	-2.707208966188181877e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.557550081250000000e+07	-5.958094231250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.479999999999999982e+00	2.713713552844087601e+09	-2.745976302657382965e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.008162250000000000e+07	-6.608978475000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.459999999999999964e+00	2.734007863210515022e+09	-2.699403462201093674e+09	0.000000000000000000e+00	0.000000000000000000e+00	7.209794700000000000e+07	-6.809250550000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.439999999999999947e+00	2.681060527831438065e+09	-2.746496669589855194e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.759182531250000000e+07	-5.807890175000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.419999999999999929e+00	2.700964562998511314e+09	-2.713193185911614895e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.158366306250000000e+07	-6.108298287500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.400000000000000133e+00	2.706818690988826752e+09	-2.701224746464747429e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.709114512500000000e+07	-7.259862718750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.380000000000000115e+00	2.728544010419553757e+09	-2.712412635512906075e+09	0.000000000000000000e+00	0.000000000000000000e+00	7.460134793750000000e+07	-6.608978475000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.360000000000000098e+00	2.712672818979142189e+09	-2.657253740670821190e+09	0.000000000000000000e+00	0.000000000000000000e+00	8.111019037500000000e+07	-7.009522625000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.340000000000000080e+00	2.704086764593346596e+09	-2.737130064805350304e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.308570362500000000e+07	-6.358638381250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.320000000000000062e+00	2.720348231233112335e+09	-2.730105111216971397e+09	0.000000000000000000e+00	0.000000000000000000e+00	7.510202812500000000e+07	-5.106937912500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.300000000000000044e+00	2.686914655821753502e+09	-2.717876488303867817e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.408706400000000000e+07	-6.608978475000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.280000000000000027e+00	2.699403462201094151e+09	-2.697321994471204281e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.709114512500000000e+07	-6.508842437500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.260000000000000009e+00	2.728153735220199585e+09	-2.731145845081916332e+09	0.000000000000000000e+00	0.000000000000000000e+00	8.261223093750000000e+07	-7.059590643750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.239999999999999991e+00	2.720218139499993801e+09	-2.737130064805350304e+09	0.000000000000000000e+00	0.000000000000000000e+00	7.760542906250000000e+07	-6.058230268750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.219999999999999973e+00	2.722299607229884148e+09	-2.718657038702576160e+09	0.000000000000000000e+00	0.000000000000000000e+00	8.060951018750000000e+07	-7.259862718750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.199999999999999956e+00	2.654912089474695206e+09	-2.668181446252743721e+09	0.000000000000000000e+00	0.000000000000000000e+00	7.510202812500000000e+07	-8.111019037500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.179999999999999938e+00	2.700834471265393257e+09	-2.700184012599802971e+09	0.000000000000000000e+00	0.000000000000000000e+00	5.707754137500000000e+07	-7.059590643750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.159999999999999920e+00	2.726462542689663887e+09	-2.735829147474168777e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.558910456250000000e+07	-7.860678943750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.140000000000000124e+00	2.723080157628592491e+09	-2.684833188091863632e+09	0.000000000000000000e+00	0.000000000000000000e+00	7.610338850000000000e+07	-6.759182531250000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.120000000000000107e+00	2.701354838197865486e+09	-2.662197226529310226e+09	0.000000000000000000e+00	0.000000000000000000e+00	7.359998756250000000e+07	-6.508842437500000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.100000000000000089e+00	2.673515207310586929e+09	-2.726982909622136116e+09	0.000000000000000000e+00	0.000000000000000000e+00	8.211155075000000000e+07	-6.608978475000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.080000000000000071e+00	2.749228595985335350e+09	-2.775116850875842094e+09	0.000000000000000000e+00	0.000000000000000000e+00	6.659046493750000000e+07	-7.009522625000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.060000000000000053e+00	2.736609697872877598e+09	-2.718136671770103931e+09	0.000000000000000000e+00	0.000000000000000000e+00	9.062311393750000000e+07	-6.258502343750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-1.040000000000000036e+00	2.694980343275077820e+09	-2.732967129345569611e+09	0.000000000000000000e+00	0.000000000000000000e+00	7.560270831250000000e+07	-6.208434325000000000e+07	0.000000000000000000e+00	-9.042284186250000494e+05
-1.020000000000000018e+00	2.686914655821753502e+09	-2.720218139499993801e+09	0.000000000000000000e+00	0.000000000000000000e+00	7.710474887500000000e+07	-6.608978475000000000e+07	0.000000000000000000e+00	-9.042284186250000494e+05
-1.000000000000000000e+00	2.709940892583662033e+09	-2.695240526741313934e+09	0.000000000000000000e+00	0.000000000000000000e+00	8.461495168750000000e+07	-7.309930737500000000e+07	0.000000000000000000e+00	-9.042284186250000494e+05
-9.799999999999999822e-01	2.712022360313551903e+09	-2.737910615204059124e+09	0.000000000000000000e+00	0.000000000000000000e+00	8.060951018750000000e+07	-5.457414043750000000e+07	0.000000000000000000e+00	0.000000000000000000e+00
-9.599999999999999645e-01	2.717226029638277054e+09	-2.736609697872877598e+09	0.000000000000000000e+00	0.000000000000000000e+00	8.511563187500000000e+07	-5.807890175000000000e+07	0.000000000000000000e+00	-8.306284310624999925e+05
-9.400000000000000577e-01	2.710591351249252319e+09	-2.744155018393728733e+09	0.000000000000000000e+00	0.000000000000000000e+00	8.010883000000000000e+07	-5.357278006250000000e+07	0.000000000000000000e+00	1.051428393750000047e+06
-9.200000000000000400e-01	2.698883095268621445e+09	-2.703306214194637299e+09	0.000000000000000000e+00	0.000000000000000000e+00	7.560270831250000000e+07	-6.108298287500000000e+07	0.000000000000000000e+00	-1.282742640374999959e+06
