# nm	x_force	y_force	z_force	magnitude_x-y_force
-2.000000000000000000e+00	1.833595858941879098e-01	1.985708271288729954e+00	-2.470553622325854626e+00	2.953291424195703030e+02
-1.979999999999999982e+00	-1.788049815008034393e+00	9.377628020704644740e-01	-2.150470494687980183e-01	2.952979479001061804e+02
-1.959999999999999964e+00	-6.113633739255935895e-01	-1.397617391119238828e-01	2.285665820626913813e+00	2.971706403089066839e+02
-1.939999999999999947e+00	-6.848564705808171116e-01	9.575170349912877077e-01	8.256478743872488479e-01	2.973153326217029075e+02
-1.919999999999999929e+00	-4.937726151406238717e-01	1.054867767174692439e+00	1.801802609314024251e+00	2.959775054023568259e+02
-1.900000000000000133e+00	-1.197327149004807190e+00	-1.813375928469967535e+00	-3.619555009663477652e+00	2.983354687404419678e+02
-1.880000000000000115e+00	3.151300469297574902e-01	-3.679800450937313894e+00	-4.861970641611549349e-01	2.958830356034446822e+02
-1.860000000000000098e+00	5.801689325983543810e+00	8.956463603033494314e-01	2.207388258913970613e+00	2.957817158190983378e+02
-1.840000000000000080e+00	1.722127887539331548e+00	9.747247190421259866e-01	-4.838445476630436060e-02	2.956930607173424050e+02
-1.820000000000000062e+00	1.086553169676321984e+00	4.435114378369905408e-01	-2.065265562502922592e+00	2.968362180812857787e+02
-1.800000000000000044e+00	1.288116889421657474e+00	1.010989424509117773e+00	4.889084619301596213e+00	2.966203349366775228e+02
-1.780000000000000027e+00	-4.158941020031579061e-01	1.136740030370734900e+00	3.182324085520882750e+00	2.964543099548200757e+02
-1.760000000000000009e+00	3.196496592994564345e+00	3.197152505771327369e-01	-1.275271814120586988e+00	2.961202962313028593e+02
-1.739999999999999991e+00	-2.587882922664916929e+00	-4.178159979575503669e-01	-1.445203831263300209e+00	2.936603528651938859e+02
-1.719999999999999973e+00	-1.327180063549426414e+00	3.002485009498880864e-01	-1.702449403625768687e+00	2.962421405988266088e+02
-1.699999999999999956e+00	1.359488935722153347e+00	-1.735463619408406100e-01	-6.457147613250673324e-01	2.995349487963605384e+02
-1.679999999999999938e+00	-4.402058540594916414e-01	-3.904077409085559669e+00	1.392150840031328718e+00	2.950772071086522033e+02
-1.660000000000000142e+00	-3.195162230884407872e+00	-3.475323425659278431e+00	-4.869600327095930936e+00	2.958607199728025421e+02
-1.640000000000000124e+00	-4.118547334387415049e+00	-1.813693406547053355e+00	4.872716879463007800e+00	2.970552777030765128e+02
-1.620000000000000107e+00	2.459123959995578534e+00	3.844061982743038008e+00	-1.677287661810964670e+00	2.960196650070652140e+02
-1.600000000000000089e+00	2.407416494556942066e+00	4.036105308329143715e-01	-3.639219142148138353e+00	2.957986437001311515e+02
-1.580000000000000071e+00	-3.051878368288600374e+00	-2.849851966631784528e+00	-2.134735114770025255e-01	2.983457238462364103e+02
-1.560000000000000053e+00	-6.612854699346012666e+00	2.262182059413552437e+00	3.194339191646946130e+00	3.000263760640525561e+02
-1.540000000000000036e+00	1.687229895790282930e+00	-2.101413552455043132e-01	1.354328720897718830e+00	2.969023239361964670e+02
-1.520000000000000018e+00	3.051644272807994884e+00	2.812077512836974602e+00	1.311799614456928831e+00	2.963990654938938860e+02
-1.500000000000000000e+00	2.110535393606847165e-01	-1.852481929117202997e+00	2.332149736993953393e-01	2.959482228646953672e+02
-1.479999999999999982e+00	-9.303194755822105089e-01	3.349076014271382129e-01	2.698967812846943648e+00	2.975691433292322472e+02
-1.459999999999999964e+00	1.201041752549200314e+00	-1.663819891430444509e+00	5.968853329468512214e+00	2.956272188643875438e+02
-1.439999999999999947e+00	2.314087621135485495e+00	1.125025636358256920e+00	-1.470277415833920687e+00	2.976528865314162431e+02
-1.419999999999999929e+00	-1.755256736041767462e+00	3.004557228467497065e+00	2.440873732604395829e-01	2.990593956364254495e+02
-1.400000000000000133e+00	-1.351752178559656681e+00	3.865568142900037141e-01	-3.089388115629881915e-01	2.937529234148672685e+02
-1.380000000000000115e+00	5.026981103973328091e-01	-4.216442706824348741e-01	1.559874781969398383e-01	2.967380093180763083e+02
-1.360000000000000098e+00	2.940383276924591005e+00	-1.619411935096468635e+00	-3.691232777130172060e+00	2.971069509215185462e+02
-1.340000000000000080e+00	-1.833193802632639757e+00	-1.191605622256687536e+00	-3.843808462665974091e+00	2.969006932586941616e+02
-1.320000000000000062e+00	2.757488753137017579e+00	2.489558788516684107e+00	-6.329782039558967677e-02	2.995934134954445085e+02
-1.300000000000000044e+00	2.063006274403865969e+00	-2.941196718018883605e+00	2.301575494865065075e+00	2.984131244791375366e+02
-1.280000000000000027e+00	-7.049561121035411437e-01	-2.973054469799729205e+00	-2.387069851256943043e+00	2.977643474981722420e+02
-1.260000000000000009e+00	-3.360999800035484153e+00	-3.695346183463378287e-01	2.858700125005084303e+00	2.982800219983225816e+02
-1.239999999999999991e+00	2.878377750808481572e+00	-9.736379484700676823e-01	-1.769585267704414377e+00	2.961520503273769123e+02
-1.219999999999999973e+00	-4.185922405057548978e+00	3.354555883005599703e+00	-1.190201138350293064e-01	2.992364132283131539e+02
-1.199999999999999956e+00	2.749701865409644785e+00	4.252609392706624192e+00	2.158797996253898621e-01	2.968650270841343399e+02
-1.179999999999999938e+00	1.706113705793745883e+00	-1.794169527525929730e+00	-9.423758006769729079e-01	2.954114520014642267e+02
-1.159999999999999920e+00	5.314543555096008509e-01	-2.694794774329440923e+00	1.510494643755977973e-01	2.978639758355805043e+02
-1.140000000000000124e+00	-3.779092878117074505e+00	4.136284020084755930e+00	-5.895708132909900367e-01	2.981922264013834933e+02
-1.120000000000000107e+00	-2.672151391598994952e+00	1.851378788081756849e-02	4.030552881136282850e-01	2.940634864543088725e+02
-1.100000000000000089e+00	1.636742235973729143e+00	2.197320645793086502e+00	-5.776756337280705145e-01	2.950411542531515465e+02
-1.080000000000000071e+00	1.236711767501865511e+00	-5.913613610508677843e-01	-1.766354219918848667e+00	3.019370670761779252e+02
-1.060000000000000053e+00	-1.612172261520694372e+00	-3.537012949188749755e-01	6.155721118327834862e-01	2.989917936830278222e+02
-1.040000000000000036e+00	-1.727724307294594253e+00	7.542857994562048862e-01	-1.933968884078790307e+00	2.997475604023179017e+02
-1.020000000000000018e+00	3.582196661570415053e+00	-1.478844188649274249e+00	-1.292367739009410821e+00	2.978888991989501278e+02
-1.000000000000000000e+00	4.279104322109815506e+00	2.259645280281047164e+00	1.179277535107616931e-01	2.978857582830456181e+02
-9.799999999999999822e-01	7.694920861757159614e+00	-4.562638106953547656e-01	4.702562899380142269e+00	2.954332224833258351e+02
-9.599999999999999645e-01	-1.002248327236927805e+00	9.818159289166610015e-02	2.360295026574576571e+00	2.968188494766707208e+02
-9.400000000000000577e-01	2.207576540400328469e+00	8.189692192583254426e-01	1.818908813078514042e+00	2.937995502928114888e+02
-9.200000000000000400e-01	-1.016871505925651009e+00	8.359099807336049792e-02	-7.719900171798818045e-01	2.961832816672044828e+02
-9.000000000000000222e-01	-2.878030380704497126e+00	-3.594857841572122403e+00	-4.226140238121049997e+00	2.977936724363408416e+02
-8.800000000000000044e-01	-1.203754317046590305e+00	-3.117920552022524286e-02	-1.967367020620273577e+00	2.951366352627279070e+02
-8.599999999999999867e-01	-1.205621411803234899e+00	3.885069097991721954e+00	4.074041670447984487e+00	2.960677987216382689e+02
-8.399999999999999689e-01	-2.366580072314233618e+00	-5.322671412784490963e-01	-8.088313463025873506e-01	2.981915336985140357e+02
-8.200000000000000622e-01	-1.741174283751792284e+00	-6.680511482915898469e-01	-1.155600235505695572e+00	2.983925832536029361e+02
-8.000000000000000444e-01	-1.098754823170608352e+00	-6.586195509455761155e-01	4.551630192614147141e+00	2.974988299533391114e+02
-7.800000000000000266e-01	2.492839418497911019e+00	2.169964861695420133e+00	-1.423738276331877994e+00	2.991438871556688923e+02
-7.600000000000000089e-01	7.064811631926704028e-02	1.833218498470998048e+00	-8.160865477200510698e-01	2.987555451807508007e+02
-7.399999999999999911e-01	2.257365333028384657e-01	2.180270858195867967e-01	7.542117107709187529e-01	2.994723977080657278e+02
-7.199999999999999734e-01	2.601806887470598184e+00	-2.881903861089331720e+00	-5.433134937779237283e+00	2.967877350277100277e+02
-7.000000000000000666e-01	5.129473909558497802e+00	8.276213217864982763e-01	2.654531963977158071e+00	2.963534555952695655e+02
-6.800000000000000488e-01	-3.179425957005302283e+00	-3.941573357698048508e+00	2.777095539908194688e+00	2.988694809399938777e+02
