# nm	x_force	y_force	z_force	magnitude_x-y_force
-1.040000000000000036e+00	4.614191775334888779e-01	1.444256605733129861e+00	2.040745149384777246e+00	2.972185209059285853e+02
-1.020000000000000018e+00	4.264534296957300241e-01	-1.988391923642208514e+00	-8.543269946385736446e-01	2.975582677252922963e+02
-1.000000000000000000e+00	8.068048272453810510e-01	-1.378369498378895219e+00	1.737384244644540887e+00	2.966054726288687107e+02
-9.799999999999999822e-01	-6.784294588407921434e-02	4.073991782828861874e-01	-2.688428431405691210e+00	3.003690316578592387e+02
-9.599999999999999645e-01	-2.324657518276548984e+00	-3.234204758852686989e+00	1.111443517964646022e+00	2.969724237203229222e+02
-9.400000000000000577e-01	-6.815786044026854729e-01	-1.164453537937086836e+00	-1.743993749932072568e+00	2.942715427957837733e+02
-9.200000000000000400e-01	2.653074149070500098e+00	-2.714451003765548376e-01	-2.947222271061552545e-01	3.003727901238841014e+02
-9.000000000000000222e-01	3.558176178017634861e+00	9.608429168602196091e-01	-4.064461219219325017e+00	2.963523033492975287e+02
-8.800000000000000044e-01	-1.627259948024851965e+00	-2.903045859191978106e+00	1.572933350536461550e+00	2.953530503643261795e+02
-8.599999999999999867e-01	-1.372534020575403746e+00	-1.840780198643161114e+00	2.842943063722473074e+00	2.979510170966022997e+02
-8.399999999999999689e-01	2.791358469101130169e+00	1.065913652472537908e-02	3.386844986486536424e+00	2.936613742645569118e+02
-8.200000000000000622e-01	1.358292065103180457e+00	6.423823694943989748e-01	5.829750090178911215e+00	2.931961204249348043e+02
-8.000000000000000444e-01	1.590404078713367531e+00	2.288177769858592558e+00	-3.849828448526602109e+00	2.958618745729939405e+02
-7.800000000000000266e-01	2.607407927278051929e+00	-7.204479591604787680e-01	-5.721779265713677454e+00	2.958652474688752250e+02
-7.600000000000000089e-01	-1.669920021245221653e+00	-7.848619635081688362e-01	3.652068475686269355e+00	2.944434071166195395e+02
