# nm	x_force	y_force	z_force	magnitude_x-y_force
-2.000000000000000000e+00	-7.233093361944726851e-01	-1.948669062729030399e-01	1.059437121086271860e+00	2.999111711492552672e+02
-1.979999999999999982e+00	2.984631515010308878e+00	2.256594588547055746e+00	1.962498543566441711e+00	2.946382825450962173e+02
-1.959999999999999964e+00	-2.526090422840631788e+00	6.118857223986853278e+00	-1.354816438706143433e+00	2.940919117583844695e+02
-1.939999999999999947e+00	1.867934544800064156e+00	6.490477466282494889e-01	-1.631016197869922912e+00	2.952454972114265956e+02
-1.919999999999999929e+00	7.388214791393624692e-01	5.363255249568906757e-01	1.359423875411856830e+00	2.957992773514951068e+02
-1.900000000000000133e+00	-3.748297391097012543e+00	1.233670306419516471e+00	4.414815371354721130e+00	2.924392543316818660e+02
-1.880000000000000115e+00	-3.077495684488622540e-01	2.610331234648032073e+00	-2.641257693939341511e+00	2.976782368773711482e+02
-1.860000000000000098e+00	3.315877239598640891e+00	-3.175661066256310505e+00	-3.506597834482035214e+00	2.974481082841219290e+02
-1.840000000000000080e+00	-2.802416504253961715e+00	2.721552694424418384e+00	-2.351431976347840624e+00	2.952862696231308064e+02
-1.820000000000000062e+00	2.270280931202156349e+00	-6.734743436803960925e+00	-3.189446753535304602e+00	2.980811644095612110e+02
-1.800000000000000044e+00	-1.708625066885220978e+00	1.339935664294048978e+00	-4.293457940855663679e+00	2.980016120932201034e+02
-1.780000000000000027e+00	3.397846998667751084e+00	-1.627881084043164339e+00	2.419434623379135729e+00	2.971041232295187342e+02
-1.760000000000000009e+00	-4.183160326981261612e+00	-5.840434966792472871e+00	5.776011331924576275e+00	2.967535301415922504e+02
-1.739999999999999991e+00	6.311903913143717126e-01	-2.994102424956808228e+00	2.180800058367131644e+00	2.992127706321928144e+02
-1.719999999999999973e+00	2.951815128001064714e+00	2.625099394038395983e-01	-1.664529006299296565e+00	2.979605384330870379e+02
-1.699999999999999956e+00	-1.178648407697020284e+00	1.415358124505268211e+00	-9.642450375572942933e-01	2.962420647617482246e+02
-1.679999999999999938e+00	-1.647896278560074812e+00	1.452125545356338421e+00	1.872124126290402035e+00	2.974175159627873199e+02
-1.660000000000000142e+00	-1.749667533390429075e-01	4.220559550045085463e-03	-2.818813567875845028e+00	2.990420761817160837e+02
-1.640000000000000124e+00	3.901713809906500519e+00	3.482563897787217755e+00	-2.856589578701329124e+00	2.960486581254690464e+02
-1.620000000000000107e+00	3.749335028761000554e+00	-9.848773376566971605e-01	-1.157446962084085484e+00	3.016254858848449203e+02
-1.600000000000000089e+00	-3.122293480780720998e+00	1.970408828278437330e+00	6.429012509446798695e-01	3.013793408252567474e+02
-1.580000000000000071e+00	-1.660264143122115010e+00	2.517369232408289026e+00	-1.452666022315046934e+00	2.959481789933366258e+02
-1.560000000000000053e+00	3.586601950547410933e+00	-5.400327353355725002e+00	-1.358558397941293183e+00	2.939191904680445191e+02
-1.540000000000000036e+00	-5.647881343504830287e-01	1.798834143978854661e+00	2.182882536242144234e+00	2.973556273120102560e+02
-1.520000000000000018e+00	1.990483239840063590e+00	-1.903993227640188080e+00	3.121248011317006466e+00	2.969006214938876269e+02
-1.500000000000000000e+00	1.387713950043784061e+00	-3.653188056038331188e-01	-4.245887095202660055e-01	2.923516098547900697e+02
-1.479999999999999982e+00	1.919470117278512022e+00	2.092059742720464133e+00	-5.242776621268692594e+00	2.963320852330629123e+02
-1.459999999999999964e+00	-4.456068256463387556e+00	5.838660774686419863e+00	3.738350725026107657e+00	2.932048523223494954e+02
-1.439999999999999947e+00	-6.517583375873125640e+00	2.539727637254696191e-01	7.378391775813868403e-01	2.956470369162439056e+02
-1.419999999999999929e+00	-1.914640646321446926e+00	-2.530399270204695128e+00	3.245878716187450053e+00	2.961120146998102882e+02
-1.400000000000000133e+00	-1.066981651716374824e+00	1.122773144971244974e-01	1.696775050895726222e+00	2.937428873664916864e+02
