# nm	x_force	y_force	z_force	magnitude_x-y_force
-2.000000000000000000e+00	6.655556802149258377e-01	1.992239140624859850e+00	1.404705377487496909e+00	2.976426272993970201e+02
-1.979999999999999982e+00	-6.933565280794762309e-01	-2.421182391845531079e+00	2.815771269721262904e+00	3.007038356812071243e+02
-1.959999999999999964e+00	4.639345759817315340e+00	-2.279582452500957146e+00	-5.739479777828686569e-01	2.961992878401601956e+02
-1.939999999999999947e+00	1.351912708421917797e+00	7.484607391487401173e-01	-1.354635539744535322e+00	2.968351022269862938e+02
-1.919999999999999929e+00	-2.657054394180941248e+00	2.949006051314293497e+00	2.623871999038865255e+00	2.948056794791665425e+02
-1.900000000000000133e+00	3.347309749288088998e+00	-2.962982597449212552e+00	-4.035978359983695363e+00	2.986995008113756853e+02
-1.880000000000000115e+00	4.019612408734903219e+00	1.367239488454118579e+00	2.074003868007203266e+00	2.928219680086069729e+02
-1.860000000000000098e+00	-1.283619025044770989e+00	-1.351601097293636977e+00	2.289553019742652573e+00	2.965898372169305048e+02
-1.840000000000000080e+00	4.987696000038488453e-01	1.239725858236820910e+00	-6.041404414375322052e-01	2.999567684118164266e+02
-1.820000000000000062e+00	-1.502665832006733898e-02	-4.714931256776553781e+00	1.905919832076917730e+00	2.929141472202148293e+02
-1.800000000000000044e+00	1.595024944471043205e-01	4.871157919639990119e+00	1.358170457376500329e+00	2.968543188872417318e+02
-1.780000000000000027e+00	1.646132023446526871e+00	-6.461632578463269994e-01	-1.088835826593607115e-01	2.976891895801683177e+02
-1.760000000000000009e+00	-1.737438086493255263e+00	1.656103489163514908e+00	3.355226987300639951e+00	2.972596053080654315e+02
-1.739999999999999991e+00	-3.081332203859399876e-01	2.449425605472682399e+00	-5.075435815692782571e-01	2.960807821467904546e+02
-1.719999999999999973e+00	6.083090744015619000e-01	1.443989665838068648e+00	-5.399557463762829634e+00	2.964471522226043589e+02
-1.699999999999999956e+00	-8.938213274653813434e-01	1.438803404182301682e-01	-1.508295913822824685e+00	2.960209345346056580e+02
-1.679999999999999938e+00	-1.632322749706682785e+00	-1.212890603214392904e+00	1.199831705313756158e+00	2.949048013107050110e+02
-1.660000000000000142e+00	-8.560526439363165263e-01	4.352783279808514649e+00	-2.028752519138615096e+00	2.948256151141215469e+02
-1.640000000000000124e+00	1.781070811531416220e+00	1.184976370498361936e-01	1.548436385420793426e+00	2.946812873549447431e+02
-1.620000000000000107e+00	1.717317983193088482e+00	4.143177322732182866e+00	-1.306252932847522308e+00	2.976124654348336662e+02
-1.600000000000000089e+00	-2.887577923317928619e+00	2.652000618251958652e+00	5.425178620682981068e-01	2.974344479525301495e+02
-1.580000000000000071e+00	2.046716375627251949e+00	-1.791672121435116338e+00	-2.263090771418086788e+00	2.935391378662916395e+02
-1.560000000000000053e+00	1.083677706856315703e+00	2.927545639479328443e+00	-2.998177911611008106e+00	2.983906340288675096e+02
-1.540000000000000036e+00	7.440866008639398510e-01	1.321561734462672610e-01	5.441275078764986617e+00	2.973883730252069881e+02
-1.520000000000000018e+00	-2.164527820537186731e+00	2.884982367235961132e+00	7.025614571856134138e-02	3.020857029445608077e+02
-1.500000000000000000e+00	-4.607891439911752762e+00	-3.201495278177855841e+00	-2.063071818612811192e+00	2.969013315150064614e+02
-1.479999999999999982e+00	-1.330982482896347463e+00	2.597728819559104174e+00	-2.194547309408549030e+00	2.977631617199304515e+02
-1.459999999999999964e+00	1.947743910246774179e+00	-2.484487789794386003e+00	1.322851477415065258e+00	3.008269982803274729e+02
-1.439999999999999947e+00	8.656006813516395892e-01	-2.254637286818391484e+00	2.425111954643171530e-01	2.980161717364877632e+02
